| Communications | GUINEA-BISSAU |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2012 est.) |
| Telephones - mobile cellular: | total: 1.238 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 72 (July 2015 est.) |
| Telephone system: | general assessment: small system including a combination of microwave radio relay, open-wire lines, radiotelephone, and mobile cellular communications |
| Telephone system: | domestic: fixed-line teledensity less than 1 per 100 persons; mobile cellular teledensity is roughly 70 per 100 persons |
| Telephone system: | international: country code - 245 (2015) |
| Broadcast media: | 1 state-owned TV station and a second station, Radio e Televisao de Portugal (RTP) Africa, is operated by Portuguese public broadcaster (RTP); 1 state-owned radio station, several private radio stations, and some community radio stations; multiple international broadcasters are available (2007) |
| Internet country code: | .gw |
| Internet users: | total: 61,000 |
| Internet users: | percent of population: 3.5% (July 2015 est.) |
