| Communications | Sweden |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,794,418 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 28 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 12,435,709 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 125 (2017 est.) |
| Telephone system: | general assessment: highly developed telecommunications infrastructure; ranked among leading countries for fixed-line, mobile-cellular, Internet, and broadband penetration; best developed LTE infrastructures in the region; first in the world to deliver 5G services (2018) |
| Telephone system: | domestic: fixed-line 28 per 100 and mobile-cellular 125 per 100; coaxial and multiconductor cables carry most of the voice traffic; parallel microwave radio relay systems carry some additional telephone channels (2018) |
| Telephone system: | international: country code - 46; landing points for Botina, SFL, SFS-4, Baltic Sea Submarine Cable, Eastern Light, Sweden-Latvia, BCS North-Phase1, EE-S1, LV-SE1,Â BCS East-West Interlink, NordBalt, Baltica, Denmark-Sweden-15,-17,-18, Scandinavian Ring -North,-South, IP-Only Denmark-Sweden, Donica North,Â Kattegate-1,-2, Energinet Laeso-Varberg and GC2 submarine cables providing links to other Nordic countries and Europe; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Eutelsat, and 1 Inmarsat (Atlantic and Indian Ocean regions); note - Sweden shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Iceland, and Norway) (2019) |
| Broadcast media: | publicly owned TV broadcaster operates 2 terrestrial networks plus regional stations; multiple privately owned TV broadcasters operating nationally, regionally, and locally; about 50 local TV stations; widespread access to pan-Nordic and international broadcasters through multi-channel cable and satellite TV; publicly owned radio broadcaster operates 3 national stations and a network of 25 regional channels; roughly 100 privately owned local radio stations with some consolidating into near national networks; an estimated 900 community and neighborhood radio stations broadcast intermittently |
| Internet country code: | .se |
| Internet users: | total: 9,041,427 |
| Internet users: | percent of population: 91.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,735,884 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 38 (2017 est.) |
