| Communications | SWEDEN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3.82 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 39 (2014 est.) |
| Telephones - mobile cellular: | total: 12.3 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 127 (2014 est.) |
| Telephone system: | general assessment: highly developed telecommunications infrastructure; ranked among leading countries for fixed-line, mobile-cellular, Internet and broadband penetration |
| Telephone system: | domestic: coaxial and multiconductor cables carry most of the voice traffic; parallel microwave radio relay systems carry some additional telephone channels |
| Telephone system: | international: country code - 46; submarine cables provide links to other Nordic countries and Europe; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Eutelsat, and 1 Inmarsat (Atlantic and Indian Ocean regions); note - Sweden shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Iceland, and Norway) (2011) |
| Broadcast media: | publicly owned TV broadcaster operates 2 terrestrial networks plus regional stations; multiple privately owned TV broadcasters operating nationally, regionally, and locally; about 50 local TV stations; widespread access to pan-Nordic and international broadcasters through multi-channel cable and satellite TV; publicly owned radio broadcaster operates 3 national stations and a network of 25 regional channels; roughly 100 privately owned local radio stations with some consolidating into near national networks; an estimated 900 community and neighborhood radio stations broadcast intermittently (2008) |
| Radio broadcast stations: | AM 1, FM 124, shortwave 0 (2008) |
| Television broadcast stations: | 252 (2008) |
| Internet country code: | .se |
| Internet users: | total: 8.7 million |
| Internet users: | percent of population: 89.1% (2014 est.) |
