| Communications | Israel |
| --- | --- |
| Telephones - main lines in use: | 3.276 million (2010) |
| Telephones - mobile cellular: | 9.875 million (2010) |
| Telephone system: | general assessment: most highly developed system in the Middle East although not the largest |
| Telephone system: | domestic: good system of coaxial cable and microwave radio relay; all systems are digital; four privately-owned mobile-cellular service providers with countrywide coverage |
| Telephone system: | international: country code - 972; submarine cables provide links to Europe, Cyprus, and parts of the Middle East; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean) (2008) |
| Broadcast media: | state broadcasting network, operated by the Israel Broadcasting Authority (IBA), broadcasts on 2 channels, one in Hebrew and the other in Arabic; 5 commercial channels including a channel broadcasting in Russian, a channel broadcasting Knesset proceedings, and a music channel supervised by a public body; multi-channel satellite and cable TV packages provide access to foreign channels; IBA broadcasts on 8 radio networks with multiple repeaters and Israel Defense Forces Radio broadcasts over multiple stations; about 15 privately-owned radio stations; overall more than 100 stations and repeater stations operating (2008) |
| Internet country code: | .il |
| Internet hosts: | 1.689 million (2010) |
| Internet users: | 4.525 million (2009) |
