| Communications | ROMANIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.11 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 19 (July 2016 est.) |
| Telephones - mobile cellular: | total: 22.9 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 106 (July 2016 est.) |
| Telephone system: | general assessment: the telecommunications sector is being expanded and modernized; domestic and international service improving rapidly, especially mobile-cellular services |
| Telephone system: | domestic: fixed-line teledensity is about 20 telephones per 100 persons; mobile market served by five mobile network operators; mobile-cellular teledensity over 105 telephones per 100 persons |
| Telephone system: | international: country code - 40; the Black Sea Fiber-Optic Cable System provides connectivity to Bulgaria and Turkey; satellite earth stations - 10; digital, international, direct-dial exchanges operate in Bucharest (2016) |
| Broadcast media: | a mixture of public and private TV stations; there are 7 public TV stations (2 national, 5 regional) using terrestrial broadcasting and 187 private TV stations (out of which 171 offer local coverage) using terrestrial broadcasting, plus 11 public TV stations using satellite broadcasting and 86 private TV stations using satellite broadcasting; state-owned public radio broadcaster operates 4 national networks and regional and local stations, having in total 20 public radio stations by terrestrial broadcasting plus 4 public radio stations by satellite broadcasting; there are 502 operational private radio stations using terrestrial broadcasting and 26 private radio stations using satellite broadcasting (2014) |
| Internet country code: | .ro |
| Internet users: | total: 12,852,696 |
| Internet users: | percent of population: 59.5% (July 2016 est.) |
