| Communications | LATVIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 390,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 19 (2014 est.) |
| Telephones - mobile cellular: | total: 2.5 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (2014 est.) |
| Telephone system: | general assessment: recent efforts focused on bringing competition to the telecommunications sector; the number of fixed lines is decreasing as mobile-cellular telephone service expands |
| Telephone system: | domestic: number of telecommunications operators has grown rapidly since the fixed-line market opened to competition in 2003; combined fixed-line and mobile-cellular subscribership roughly 150 per 100 persons |
| Telephone system: | international: country code - 371; the Latvian network is now connected via fiber optic cable to Estonia, Finland, and Sweden (2008) |
| Broadcast media: | several national and regional commercial TV stations are foreign-owned, 2 national TV stations are publicly owned; system supplemented by privately owned regional and local TV stations; cable and satellite multi-channel TV services with domestic and foreign broadcasts available; publicly owned broadcaster operates 4 radio networks with dozens of stations throughout the country; dozens of private broadcasters also operate radio stations (2007) |
| Radio broadcast stations: | AM 8, FM 62, shortwave 1 (2008) |
| Television broadcast stations: | 37 (plus 31 repeaters) (2008) |
| Internet country code: | .lv |
| Internet users: | total: 1.5 million |
| Internet users: | percent of population: 76.5% (2014 est.) |
