| Communications | Israel |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3.24 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 39 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 10.54 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 127 (2017 est.) |
| Telephone system: | general assessment: most highly developed system in the Middle East; mobile broadband 100% population penetration; consumers enjoy inexpensive 3G services; 4G cellular service;Â fixed broadband available to 99% of all households (2019) |
| Telephone system: | domestic: good system of coaxial cable and microwave radio relay; all systems are digital; competition among both fixed-line and mobile cellular providers results in good coverage countrywide; fixed-line 39 per 100 and 127 per 100 for mobile-cellular subscriptions (2019) |
| Telephone system: | international: country code - 972; landing points for the MedNautilus Submarine System, Tameres North, Jonah and Lev Submarine System submarine cables provide links to Europe, Cyprus, and parts of the Middle East; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean) (2019) |
| Broadcast media: | the Israel Broadcasting Corporation (est 2015) broadcasts onÂ 3 channels,Â two in Hebrew and the other in Arabic; multi-channel satellite and cable TV packages provide access to foreign channels; the Israeli Broadcasting Corporation broadcasts on 8 radio networks with multiple repeaters and Israel Defense Forces Radio broadcasts over multiple stations; about 15 privately owned radio stations; overall more than 100 stations and repeater stations (2019) |
| Internet country code: | .il |
| Internet users: | total: 6,521,539 |
| Internet users: | percent of population: 79.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2.342 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 28 (2017 est.) |
