| Communications | Jersey |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 55,938 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 58 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 122,668 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 119 (July 2016 est.) |
| Telecommunication systems: | general assessment: good system with broadband access (2018) |
| Telecommunication systems: | domestic: fixed-line and mobile-cellular services widely available; fixed-line 58 per 100 and mobile-cellular 119 per 100 subscriptions (2018) |
| Telecommunication systems: | international: country code - 44; landing points for the INGRID, UK-Channel Islands-8, and Guernsey-Jersey-4, submarine cable connectivity to Guernsey, the UK, and France (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | multiple UK terrestrial TV broadcasts are received via a transmitter in Jersey; satellite packages available; BBC Radio Jersey and 1 other radio station operating |
| Internet country code: | .je |
| Internet users: | total: 58,000 |
| Internet users: | percent of population: 59.6% (July 2016 est.) |
