| Communications | HONDURAS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 442,929 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (July 2016 est.) |
| Telephones - mobile cellular: | total: 7,832,802 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 88 (July 2016 est.) |
| Telephone system: | general assessment: fixed-line connections are increasing but still limited; competition among multiple providers of mobile-cellular services is contributing to a sharp increase in subscribership |
| Telephone system: | domestic: beginning in 2003, private sub-operators allowed to provide fixed lines in order to expand telephone coverage contributing to a small increase in fixed-line teledensity; mobile-cellular subscribership is roughly 90 per 100 persons |
| Telephone system: | international: country code - 504; landing point for both the Americas Region Caribbean Ring System (ARCOS-1) and the MAYA-1 fiber-optic submarine cable system that together provide connectivity to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 2 Intelsat (Atlantic Ocean); connected to Central American Microwave System (2016) |
| Broadcast media: | multiple privately owned terrestrial TV networks, supplemented by multiple cable TV networks; Radio Honduras is the lone government-owned radio network; roughly 300 privately owned radio stations (2007) |
| Internet country code: | .hn |
| Internet users: | total: 2,667,978 |
| Internet users: | percent of population: 30.0% (July 2016 est.) |
