| Communications | INDONESIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 10,372,912 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (July 2016 est.) |
| Telephones - mobile cellular: | total: 385,573,398 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 149 (July 2016 est.) |
| Telephone system: | general assessment: domestic service includes an interisland microwave system, an HF radio police net, and a domestic satellite communications system; international service good |
| Telephone system: | domestic: coverage provided by existing network has been expanded by use of over 200,000 telephone kiosks many located in remote areas; mobile-cellular subscribership growing rapidly |
| Telephone system: | international: country code - 62; landing point for both the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks that provide links throughout Asia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) (2015) |
| Broadcast media: | mixture of about a dozen national TV networks - 2 public broadcasters, the remainder private broadcasters - each with multiple transmitters; more than 100 local TV stations; widespread use of satellite and cable TV systems; public radio broadcaster operates 6 national networks, as well as regional and local stations; overall, more than 700 radio stations with more than 650 privately operated (2008) |
| Internet country code: | .id |
| Internet users: | total: 65,525,226 |
| Internet users: | percent of population: 25.4% (July 2016 est.) |
