| Communications | BOTSWANA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 160,490 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 7 (July 2015 est.) |
| Telephones - mobile cellular: | total: 3.475 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 159 (July 2015 est.) |
| Telephone system: | general assessment: Botswana is participating in regional development efforts; expanding fully digital system with fiber-optic cables linking the major population centers in the east as well as a system of open-wire lines, microwave radio relays links, and radiotelephone communication stations |
| Telephone system: | domestic: fixed-line teledensity has declined in recent years and now stands at roughly 7 telephones per 100 persons; mobile-cellular teledensity now pushing 160 telephones per 100 persons |
| Telephone system: | international: country code - 267; international calls are made via satellite, using international direct dialing; 2 international exchanges; digital microwave radio relay links to Namibia, Zambia, Zimbabwe, and South Africa; satellite earth station - 1 Intelsat (Indian Ocean) (2015) |
| Broadcast media: | 2 TV stations - 1 state-owned and 1 privately owned; privately owned satellite TV subscription service is available; 2 state-owned national radio stations; 3 privately owned radio stations broadcast locally (2007) |
| Internet country code: | .bw |
| Internet users: | total: 600,000 |
| Internet users: | percent of population: 27.5% (July 2015 est.) |
