| Communications | Nepal |
| --- | --- |
| Telephones - main lines in use: | 820,500 (2009) |
| Telephones - mobile cellular: | 7.618 million (2009) |
| Telephone system: | general assessment: poor telephone and telegraph service; fair radiotelephone communication service and mobile-cellular telephone network |
| Telephone system: | domestic: combined fixed-line and mobile-cellular telephone service subscribership base only about 30 per 100 persons |
| Telephone system: | international: country code - 977; radiotelephone communications; microwave landline to India; satellite earth station - 1 Intelsat (Indian Ocean) (2008) |
| Broadcast media: | state operates 2 television stations as well as national and regional radio stations; more than 60 independent radio stations and a small number of independent television stations (2007) |
| Internet country code: | .np |
| Internet hosts: | 43,928 (2010) |
| Internet users: | 577,800 (2009) |
