| Communications | CONGO, REPUBLIC OF THE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 5.216 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 110 (July 2016 est.) |
| Telephone system: | general assessment: primary network consists of microwave radio relay and coaxial cable with services barely adequate for government use; key exchanges are in Brazzaville, Pointe-Noire, and Loubomo; intercity lines frequently out of order |
| Telephone system: | domestic: fixed-line infrastructure inadequate, providing less than 1 connection per 100 persons; in the absence of an adequate fixed-line infrastructure, mobile-cellular subscribership has surged to 110 per 100 persons |
| Telephone system: | international: country code - 242; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 1 state-owned TV and 3 state-owned radio stations; several privately owned TV and radio stations; satellite TV service is available; rebroadcasts of several international broadcasters are available (2007) |
| Internet country code: | .cg |
| Internet users: | total: 362,000 |
| Internet users: | percent of population: 7.6% (July 2016 est.) |
