| Communications | ISRAEL |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3.412 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42 (July 2015 est.) |
| Telephones - mobile cellular: | total: 10.57 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 131 (July 2015 est.) |
| Telephone system: | general assessment: most highly developed system in the Middle East |
| Telephone system: | domestic: good system of coaxial cable and microwave radio relay; all systems are digital; competition among both fixed-line and mobile cellular providers results in good coverage countrywide |
| Telephone system: | international: country code - 972; submarine cables provide links to Europe, Cyprus, and parts of the Middle East; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean) (2015) |
| Broadcast media: | state broadcasting network, operated by the Israel Broadcasting Authority (IBA), broadcasts on 2 channels, one in Hebrew and the other in Arabic; 5 commercial channels including a channel broadcasting in Russian, a channel broadcasting Knesset proceedings, and a music channel supervised by a public body; multi-channel satellite and cable TV packages provide access to foreign channels; IBA broadcasts on 8 radio networks with multiple repeaters and Israel Defense Forces Radio broadcasts over multiple stations; about 15 privately owned radio stations; overall more than 100 stations and repeater stations (2008) |
| Internet country code: | .il |
| Internet users: | total: 6.35 million |
| Internet users: | percent of population: 78.9% (July 2015 est.) |
