| Communications | Gibraltar |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 19,753 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 67 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 41,035 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 140 (2017 est.) |
| Telephone system: | general assessment: adequate, automatic domestic system and adequate international facilities (2017) |
| Telephone system: | domestic: automatic exchange facilities; 67 per 100 fixed-line and 140 per 100 mobile-cellular (2017) |
| Telephone system: | international: country code - 350; radiotelephone; microwave radio relay; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | Gibraltar Broadcasting Corporation (GBC) provides TV and radio broadcasting services via 1 TV station and 4 radio stations; British Forces Broadcasting Service (BFBS) operates 1 radio station; broadcasts from Spanish radio and TV stations are accessible (2008) |
| Internet country code: | .gi |
| Internet users: | total: 27,699 (July 2016 est.) |
| Internet users: | percent of population: 94.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 17,373 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 59 (2017 est.) |
