| Communications | BAHRAIN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 287,203 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2016 est.) |
| Telephones - mobile cellular: | total: 2,994,865 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 217 (July 2016 est.) |
| Telephone system: | general assessment: modern system |
| Telephone system: | domestic: modern fiber-optic integrated services; digital network with rapidly growing use of mobile-cellular telephones |
| Telephone system: | international: country code - 973; landing point for the Fiber-Optic Link Around the Globe (FLAG) submarine cable network that provides links to Asia, Middle East, Europe, and US; tropospheric scatter to Qatar and UAE; microwave radio relay to Saudi Arabia; satellite earth station - 1 (2016) |
| Broadcast media: | state-run Bahrain Radio and Television Corporation (BRTC) operates 5 terrestrial TV networks and several radio stations; satellite TV systems provide access to international broadcasts; 1 private FM station directs broadcasts to Indian listeners; radio and TV broadcasts from countries in the region are available (2009) |
| Internet country code: | .bh |
| Internet users: | total: 1,351,326 |
| Internet users: | percent of population: 98.0% (July 2016 est.) |
