| Communications | DENMARK |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,557,101 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 28 (July 2016 est.) |
| Telephones - mobile cellular: | total: 6,985,035 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 125 (July 2016 est.) |
| Telephone system: | general assessment: excellent telephone and Internet services |
| Telephone system: | domestic: buried and submarine cables and microwave radio relay form trunk network; multiple mobile-cellular communications systems |
| Telephone system: | international: country code - 45; a series of fiber-optic submarine cables link Denmark with Canada, Faroe Islands, Germany, Iceland, Netherlands, Norway, Poland, Russia, Sweden, and UK; satellite earth stations - 18 (6 Intelsat, 10 Eutelsat, 1 Orion, 1 Inmarsat (Blaavand-Atlantic-East)); note - the Nordic countries (Denmark, Finland, Iceland, Norway, and Sweden) share the Danish earth station and the Eik, Norway, station for worldwide Inmarsat access (2015) |
| Broadcast media: | strong public-sector TV presence with state-owned Danmarks Radio (DR) operating 6 channels and publicly owned TV2 operating roughly a half-dozen channels; broadcasts of privately owned stations are available via satellite and cable feed; DR operates 4 nationwide FM radio stations, 10 digital audio broadcasting stations, and 14 web-based radio stations; in 2010, there were 140 commercial and 187 community (non-commercial) radio stations (2012) |
| Internet country code: | .dk |
| Internet users: | total: 5,424,169 |
| Internet users: | percent of population: 97.0% (July 2016 est.) |
