| Communications | Lithuania |
| --- | --- |
| Telephones - main lines in use: | 824,200 (2003) |
| Telephones - mobile cellular: | 2,169,900 (2003) |
| Telephone system: | general assessment: inadequate, but is being modernized to provide an improved international capability and better residential access |
| Telephone system: | domestic: a national, fiber-optic cable, interurban, trunk system is nearing completion; rural exchanges are being improved and expanded; mobile cellular systems are being installed; access to the Internet is available; still many unsatisfied telephone subscriber applications |
| Telephone system: | international: country code - 370; landline connections to Latvia and Poland; major international connections to Denmark, Sweden, and Norway by submarine cable for further transmission by satellite |
| Radio broadcast stations: | AM 29, FM 142, shortwave 1 (2001) |
| Radios: | 1.9 million (1997) |
| Television broadcast stations: | 27 |
| Television broadcast stations: | note: Lithuania has approximately 27 broadcasting stations, but may have as many as 100 transmitters, including repeater stations (2001) |
| Televisions: | 1.7 million (1997) |
| Internet country code: | .lt |
| Internet hosts: | 67,769 (2004) |
| Internet Service Providers (ISPs): | 32 (2001) |
| Internet users: | 695,700 (2003) |
