| Communications | LIBYA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 632,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10 (July 2015 est.) |
| Telephones - mobile cellular: | total: 9.918 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 155 (July 2015 est.) |
| Telephone system: | general assessment: Libya's civil war has disrupted its telecommunications sector, but much of its infrastructure remains superior to that in most other African countries |
| Telephone system: | domestic: combined fixed-line and mobile-cellular service generally adequate, but pressure to rebuild damaged infrastructure growing |
| Telephone system: | international: country code - 218; satellite earth stations - 4 Intelsat, NA Arabsat, and NA Intersputnik; submarine cable to France and Italy; microwave radio relay to Tunisia and Egypt; tropospheric scatter to Greece; participant in Medarabtel (2015) |
| Broadcast media: | state-funded and private TV stations; some provinces operate local TV stations; pan-Arab satellite TV stations are available; state-funded radio (2012) |
| Internet country code: | .ly |
| Internet users: | total: 1.219 million |
| Internet users: | percent of population: 19% (July 2015 est.) |
