| Communications | TAJIKISTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 468,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (July 2016 est.) |
| Telephones - mobile cellular: | total: 9.4 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113 (July 2016 est.) |
| Telephone system: | general assessment: foreign investment in the telephone system has resulted in major improvements; conversion of the existing fixed network from analogue to digital was completed in 2012 |
| Telephone system: | domestic: fixed line availability has not changed significantly since 1998, while mobile cellular subscribership, aided by competition among multiple operators, has expanded rapidly; coverage now extends to all major cities and towns |
| Telephone system: | international: country code - 992; linked by cable and microwave radio relay to other CIS republics and by leased connections to the Moscow international gateway switch; Dushanbe linked by Intelsat to international gateway switch in Ankara (Turkey); satellite earth stations - 3 (2 Intelsat and 1 Orbita); established a single gateway for Internet traffic in December 2015, which is expected to limit the connectivity of nonstate-owned telecom, Internet, and mobile companies (2016) |
| Broadcast media: | state-run TV broadcasters transmit nationally on 9 TV and 10 radio stations, and regionally on 4 stations; 31 independent TV and 20 radio stations broadcast locally and regionally; many households are able to receive Russian and other foreign stations via cable and satellite (2016) |
| Internet country code: | .tj |
| Internet users: | total: 1,705,345 |
| Internet users: | percent of population: 20.5% (July 2016 est.) |
