| Communications | Lesotho |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 10,637 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,380,804 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 122 (2017 est.) |
| Telephone system: | general assessment: rudimentary system consisting of a modest number of landlines, a small microwave radio relay system, and a small radiotelephone communication system; fixed-line teledensity is low; mobile-cellular telephone system is expanding;Â  commerical services with LTE technology (2017) |
| Telephone system: | domestic: mobile-cellular service dominates the market with a subscribership now over 122 per 100 persons; fixed-line is 1 per 100 subscriptions (2017) |
| Telephone system: | international: country code - 266; satellite earth station - 1 Intelsat (Atlantic Ocean);Â although expensive, given the need for access prices due to the fact that the country is landlocked, the internet has improved withÂ the several submarine fibre optic cables which land on African east and west coasts (2016) |
| Broadcast media: | 1 state-owned TV station and 2 state-owned radio stations; government controls most private broadcast media; satellite TV subscription service available; transmissions of multiple international broadcasters obtainable (2008) |
| Internet country code: | .ls |
| Internet users: | total: 534,360 (July 2016 est.) |
| Internet users: | percent of population: 27.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 4,984 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
