| Communications | COTE D'IVOIRE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 289,108 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 27,451,250 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 116 (July 2016 est.) |
| Telephone system: | general assessment: well-developed by African standards; telecommunications sector privatized in late 1990s and operational fixed lines have increased since that time with 2 fixed-line providers operating over open-wire lines, microwave radio relay, and fiber-optics; 90% digitalized |
| Telephone system: | domestic: with multiple mobile-cellular service providers competing in the market, usage has increased sharply to about 115 per 100 persons |
| Telephone system: | international: country code - 225; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) (2016) |
| Broadcast media: | 2 state-owned TV stations; no private terrestrial TV stations, but satellite TV subscription service is available; 2 state-owned radio stations; some private radio stations; transmissions of several international broadcasters are available (2007) |
| Internet country code: | .ci |
| Internet users: | total: 6,297,676 |
| Internet users: | percent of population: 26.5% (July 2016 est.) |
