| Communications | Mali |
| --- | --- |
| Telephones - main lines in use: | 114,400 (2010) |
| Telephones - mobile cellular: | 7.326 million (2010) |
| Telephone system: | general assessment: domestic system unreliable but improving; increasing use of local radio loops to extend network coverage to remote areas |
| Telephone system: | domestic: fixed-line subscribership remains less than 1 per 100 persons; mobile-cellular subscribership has increased sharply to nearly 30 per 100 persons |
| Telephone system: | international: country code - 223; satellite communications center and fiber-optic links to neighboring countries; satellite earth stations - 2 Intelsat (1 Atlantic Ocean, 1 Indian Ocean) (2008) |
| Broadcast media: | national public TV broadcaster; 2 privately-owned companies provide subscription services to foreign multi-channel TV packages; national public radio broadcaster supplemented by a large number of privately-owned and community broadcast stations; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .ml |
| Internet hosts: | 524 (2010) |
| Internet users: | 249,800 (2009) |
