| Communications | Paraguay |
| --- | --- |
| Telephones - main lines in use: | 372,400 (2011) |
| Telephones - mobile cellular: | 6.529 million (2011) |
| Telephone system: | general assessment: the fixed-line market is a state monopoly and fixed-line telephone service is meager; principal switching center is in Asuncion |
| Telephone system: | domestic: deficiencies in provision of fixed-line service have resulted in a rapid expansion of mobile-cellular services fostered by competition among multiple providers |
| Telephone system: | international: country code - 595; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Broadcast media: | 6 privately-owned TV stations; about 75 commercial and community radio stations; 1 state-owned radio network (2010) |
| Internet country code: | .py |
| Internet hosts: | 280,658 (2012) |
| Internet users: | 1.105 million (2009) |
