| Communications | NORWAY |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 863,855 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 16 (July 2016 est.) |
| Telephones - mobile cellular: | total: 5,718,740 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 109 (July 2016 est.) |
| Telephone system: | general assessment: modern in all respects; one of the most advanced telecommunications networks in Europe |
| Telephone system: | domestic: Norway has a domestic satellite system; the prevalence of rural areas encourages the wide use of mobile-cellular systems |
| Telephone system: | international: country code - 47; 2 buried coaxial cable systems; submarine cables provide links to other Nordic countries and Europe; satellite earth stations - NA Eutelsat, NA Intelsat (Atlantic Ocean), and 1 Inmarsat (Atlantic and Indian Ocean regions); note - Norway shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Iceland, and Sweden) (2016) |
| Broadcast media: | state-owned public radio-TV broadcaster operates 3 nationwide TV stations, 3 nationwide radio stations, and 16 regional radio stations; roughly a dozen privately owned TV stations broadcast nationally and roughly another 25 local TV stations broadcasting; nearly 75% of households have access to multi-channel cable or satellite TV; 2 privately owned radio stations broadcast nationwide and another 240 stations operate locally; Norway is the first country in the world to phase out FM radio in favor of Digital Audio Broadcasting (DAB), a process scheduled for completion in late 2017 (2017) |
| Internet country code: | .no |
| Internet users: | total: 5,122,904 |
| Internet users: | percent of population: 97.3% (July 2016 est.) |
