| Communications | Ireland |
| --- | --- |
| Telephones - main lines in use: | 2.08 million (2009) |
| Telephones - mobile cellular: | 4.871 million (2009) |
| Telephone system: | general assessment: modern digital system using cable and microwave radio relay |
| Telephone system: | domestic: system privatized but dominated by former state monopoly operator; increasing levels of broadband access |
| Telephone system: | international: country code - 353; landing point for the Hibernia-Atlantic submarine cable with links to the US, Canada, and UK; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Broadcast media: | publicly-owned broadcaster Radio Telefis Eireann (RTE) operates 2 TV stations; commercial television stations are available; about 75% of households utilize multi-channel satellite and TV services that provide access to a wide range of stations; RTE operates 4 national radio stations and has launched digital audio broadcasts on several stations; a number of commercial broadcast stations operate at the national, regional, and local levels (2007) |
| Internet country code: | .ie |
| Internet hosts: | 1.339 million (2010) |
| Internet users: | 3.042 million (2009) |
