| Communications | El Salvador |
| --- | --- |
| Telephones - main lines in use: | 1.099 million (2009) |
| Telephones - mobile cellular: | 7.566 million (2009) |
| Telephone system: | general assessment: multiple mobile-cellular providers are expanding services rapidly and in 2009 teledensity exceeded 100 per 100 persons; growth in fixed-line services has slowed in the face of mobile-cellular competition |
| Telephone system: | domestic: nationwide microwave radio relay system |
| Telephone system: | international: country code - 503; satellite earth station - 1 Intelsat (Atlantic Ocean); connected to Central American Microwave System (2009) |
| Broadcast media: | multiple privately-owned national terrestrial television networks, supplemented by cable TV networks that carry international channels; hundreds of commercial radio broadcast stations and 1 government-owned radio broadcast station (2007) |
| Internet country code: | .sv |
| Internet hosts: | 13,849 (2010) |
| Internet users: | 746,000 (2009) |
