| Communications | NETHERLANDS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6,951,528 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 41 (July 2015 est.) |
| Telephones - mobile cellular: | total: 20.809 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 123 (July 2015 est.) |
| Telephone system: | general assessment: highly developed and well maintained |
| Telephone system: | domestic: extensive fixed-line, fiber-optic network; large cellular telephone system with 5 major operators utilizing the third generation of the Global System for Mobile Communications technology; one in five households now use Voice over the Internet Protocol services |
| Telephone system: | international: country code - 31; submarine cables provide links to the US and Europe; satellite earth stations - 5 (3 Intelsat - 1 Indian Ocean and 2 Atlantic Ocean, 1 Eutelsat, and 1 Inmarsat (2011) |
| Broadcast media: | more than 90% of households are connected to cable or satellite TV systems that provide a wide range of domestic and foreign channels; public service broadcast system includes multiple broadcasters, 3 with a national reach and the remainder operating in regional and local markets; 2 major nationwide commercial television companies, each with 3 or more stations, and many commercial TV stations in regional and local markets; nearly 600 radio stations with a mix of public and private stations providing national or regional coverage (2008) |
| Internet country code: | .nl |
| Internet users: | total: 15.778 million |
| Internet users: | percent of population: 93.1% (July 2015 est.) |
