| Communications | Bhutan |
| --- | --- |
| Telephones - main lines in use: | 27,000 (2012) |
| Telephones - mobile cellular: | 560,000 (2012) |
| Telephone system: | general assessment: urban towns and district headquarters have telecommunications services |
| Telephone system: | domestic: low teledensity; domestic service is poor especially in rural areas; mobile-cellular service, started in 2003, is now widely available |
| Telephone system: | international: country code - 975; international telephone and telegraph service via landline and microwave relay through India; satellite earth station - 1 Intelsat (2012) |
| Broadcast media: | state-owned TV station established in 1999; cable TV service offers dozens of Indian and other international channels; first radio station, privately launched in 1973, is now state-owned; 5 private radio stations are currently broadcasting (2012) |
| Internet country code: | .bt |
| Internet hosts: | 14,590 (2012) |
| Internet users: | 50,000 (2009) |
