| Communications | NAMIBIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 182,507 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (July 2015 est.) |
| Telephones - mobile cellular: | total: 2.443 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 110 (July 2012 est.) |
| Telephone system: | general assessment: good system; core fiber-optic network links most centers with digital connections |
| Telephone system: | domestic: multiple mobile-cellular providers with a combined subscribership of about 110 telephones per 100 persons |
| Telephone system: | international: country code - 264; fiber-optic cable to South Africa, microwave radio relay link to Botswana, direct links to other neighboring countries; connected to the South African Far East submarine cable through South Africa; connected to the West Africa Cable System, an ultra-high capacity fiber-optic submarine cable linking southern and western African countries to Europe; satellite earth stations - 4 Intelsat (2015) |
| Broadcast media: | 1 private and 1 state-run TV station; satellite and cable TV service available; state-run radio service broadcasts in multiple languages; about a dozen private radio stations; transmissions of multiple international broadcasters available (2007) |
| Internet country code: | .na |
| Internet users: | total: 493,000 |
| Internet users: | percent of population: 22.3% (July 2015 est.) |
