| Communications | IRELAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,932,059 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 39 (July 2015 est.) |
| Telephones - mobile cellular: | total: 4.902 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 100 (July 2015 est.) |
| Telephone system: | general assessment: modern digital system using cable and microwave radio relay |
| Telephone system: | domestic: system privatized but dominated by former state monopoly operator; increasing levels of broadband access particularly in urban areas |
| Telephone system: | international: country code - 353; landing point for the Hibernia-Atlantic submarine cable with links to the US, Canada, and UK; satellite earth stations - 81 (2014) |
| Broadcast media: | publicly owned broadcaster Radio Telefis Eireann (RTE) operates 2 TV stations; commercial TV stations are available; about 75% of households utilize multi-channel satellite and TV services that provide access to a wide range of stations; RTE operates 4 national radio stations and has launched digital audio broadcasts on several stations; a number of commercial broadcast stations operate at the national, regional, and local levels (2014) |
| Internet country code: | .ie |
| Internet users: | total: 3.92 million |
| Internet users: | percent of population: 80.1% (July 2015 est.) |
