| Communications | Slovakia |
| --- | --- |
| Telephones - main lines in use: | 1.022 million (2009) |
| Telephones - mobile cellular: | 5.498 million (2009) |
| Telephone system: | general assessment: Slovakia has a modern telecommunications system that has expanded dramatically in recent years with the growth in cellular services |
| Telephone system: | domestic: analog system is now receiving digital equipment and is being enlarged with fiber-optic cable, especially in the larger cities; 3 companies provide nationwide cellular services |
| Telephone system: | international: country code - 421; 3 international exchanges (1 in Bratislava and 2 in Banska Bystrica) are available; Slovakia is participating in several international telecommunications projects that will increase the availability of external services |
| Broadcast media: | state-owned public broadcaster, Slovak Television (STV), operates 3 national TV stations; roughly 35 privately-owned television broadcast stations operating nationally, regionally, and locally; about 40% of households are connected to multi-channel cable or satellite TV systems; channels from the Czech Republic and Hungary are widely viewed; state-owned public radio operates multiple national and regional networks; more than 20 privately-owned radio stations (2008) |
| Internet country code: | .sk |
| Internet hosts: | 1.133 million (2010) |
| Internet users: | 4.063 million (2009) |
