| Communications | AUSTRALIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 9.08 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 40 (July 2015 est.) |
| Telephones - mobile cellular: | total: 31.77 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 140 (July 2015 est.) |
| Telephone system: | general assessment: excellent domestic and international service |
| Telephone system: | domestic: domestic satellite system; significant use of radiotelephone in areas of low population density; rapid growth of mobile telephones |
| Telephone system: | international: country code - 61; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable with links to Asia, the Middle East, and Europe; the Southern Cross fiber-optic submarine cable provides links to NZ and the US; satellite earth stations - 10 Intelsat (4 Indian Ocean and 6 Pacific Ocean), 2 Inmarsat, 2 Globalstar, 5 other) (2015) |
| Broadcast media: | the Australian Broadcasting Corporation (ABC) runs multiple national and local radio networks and TV stations, as well as Australia Network, a TV service that broadcasts throughout the Asia-Pacific region and is the main public broadcaster; Special Broadcasting Service (SBS), a second large public broadcaster, operates radio and TV networks broadcasting in multiple languages; several large national commercial TV networks, a large number of local commercial TV stations, and hundreds of commercial radio stations are accessible; cable and satellite systems are available (2008) |
| Internet country code: | .au |
| Internet users: | total: 19.238 million |
| Internet users: | percent of population: 84.6% (July 2015 est.) |
