| Communications | KYRGYZSTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 382,149 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 7 (July 2016 est.) |
| Telephones - mobile cellular: | total: 7,613,528 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 133 (July 2016 est.) |
| Telephone system: | general assessment: telecommunications infrastructure is being upgraded; loans from the European Bank for Reconstruction and Development (EBRD) are being used to install a digital network, digital radio-relay stations, and fiber-optic links |
| Telephone system: | domestic: fixed-line penetration remains low and concentrated in urban areas; multiple mobile-cellular service providers with growing coverage; mobile-cellular subscribership up to over 130 per 100 persons |
| Telephone system: | international: country code - 996; connections with other CIS countries by landline or microwave radio relay and with other countries by leased connections with Moscow international gateway switch and by satellite; satellite earth stations - 2 (1 Intersputnik, 1 Intelsat); connected internationally by the Trans-Asia-Europe (TAE) fiber-optic line (2016) |
| Broadcast media: | state-run TV broadcaster operates 2 nationwide networks and 6 regional stations; roughly 20 private TV stations operating with most rebroadcasting other channels; state-run radio broadcaster operates 2 networks; about 20 private radio stations (2007) |
| Internet country code: | .kg |
| Internet users: | total: 1,976,006 |
| Internet users: | percent of population: 34.5% (July 2016 est.) |
