| Communications | Tunisia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,113,168 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 14,334,080 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (2017 est.) |
| Telephone system: | general assessment: above the African average and continuing to be upgraded; key centers are Sfax, Sousse, Bizerte, and Tunis; telephone network is completely digitized; Internet access available throughout the country (2016) |
| Telephone system: | domestic: in an effort to jumpstart expansion of the fixed-line network, the government awarded a concession to build and operate a VSAT network with international connectivity; rural areas are served by wireless local loops; competition between several mobile-cellular service providers has resulted in lower activation and usage charges and a strong surge in subscribership; overall fixed-line and mobile-cellular teledensity has reached about 135 telephones per 100 persons (2016) |
| Telephone system: | international: country code - 216; a landing point for the SEA-ME-WE-4 submarine cable system that provides links to Europe, Middle East, and Asia; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 Arabsat; coaxial cable and microwave radio relay to Algeria and Libya; participant in Medarabtel; 2 international gateway digital switches (2016) |
| Broadcast media: | broadcast media is mainly government-controlled; the state-run Tunisian Radio and Television Establishment (ERTT) operates 2 national TV networks, several national radio networks, and a number of regional radio stations; 1 TV and 3 radio stations are privately owned and report domestic news stories directly from the official Tunisian news agency; the state retains control of broadcast facilities and transmitters through L'Office National de la Telediffusion; Tunisians also have access to Egyptian, pan-Arab, and European satellite TV channels (2007) |
| Internet country code: | .tn |
| Internet users: | total: 5,665,242 (July 2016 est.) |
| Internet users: | percent of population: 50.9% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 801,785 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 7 (2017 est.) |
