| Communications | Luxembourg |
| --- | --- |
| Telephones - main lines in use: | 266,700 (2012) |
| Telephones - mobile cellular: | 761,300 (2012) |
| Telephone system: | general assessment: highly developed, completely automated and efficient system, mainly buried cables |
| Telephone system: | domestic: fixed line teledensity over 50 per 100 persons; nationwide mobile-cellular telephone system with market for mobile-cellular phones virtually saturated |
| Telephone system: | international: country code - 352 (2010) |
| Broadcast media: | Luxembourg has a long tradition of operating radio and TV services to pan-European audiences and is home to Europe's largest privately owned broadcast media group, the RTL group, which operates 46 TV stations and 29 radio stations in Europe; also home to Europe's largest satellite operator, Societe Europeenne des Satellites (SES); domestically, the RTL group operates TV and radio networks; other domestic private radio and TV operators and French and German stations available; satellite and cable TV services available (2008) |
| Internet country code: | .lu |
| Internet hosts: | 250,900 (2012) |
| Internet users: | 424,500 (2009) |
