| Communications | Guam |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 68,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 181,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113 (July 2016 est.) |
| Telephone system: | general assessment: modern system, integrated with US facilities for direct dialing, including free use of 800 numbers (2018) |
| Telephone system: | domestic: three major companies provide both fixed-line and mobile services, as well as access to the Internet; fixed-line 42 per 100 and 113 per 100 for mobile-cellular (2018) |
| Telephone system: | international: country code - 1-671; major landing points for Atisa, HANTRU1, HK-G, JGA-N, JGA-S, PIPE-1, SEA-US, SxS, Tata TGN-Pacific, AJC, GOKI, AAG, AJC and Mariana-Guam Cable submarine cables between Asia, Australia, and the US (Guam is a transpacific communications hub for major carriers linking the US and Asia); satellite earth stations - 2 Intelsat (Pacific Ocean) (2019) |
| Broadcast media: | about a dozen TV channels, including digital channels; multi-channel cable TV services are available; roughly 20 radio stations |
| Internet country code: | .gu |
| Internet users: | total: 125,328 |
| Internet users: | percent of population: 77% (July 2016 est.) |
