| Communications | SUDAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 118,954 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 27.939 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 77 (July 2015 est.) |
| Telephone system: | general assessment: well-equipped system by regional standards and being upgraded; cellular communications started in 1996 and have expanded substantially with wide coverage of most major cities |
| Telephone system: | domestic: consists of microwave radio relay, cable, fiber optic, radiotelephone communications, tropospheric scatter, and a domestic satellite system with 14 earth stations |
| Telephone system: | international: country code - 249; linked to the EASSy and FLAG fiber-optic submarine cable systems; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Arabsat (2010) |
| Broadcast media: | the Sudanese Government directly controls TV and radio, requiring that both media reflect government policies; TV has a permanent military censor; a private radio station is in operation (2007) |
| Internet country code: | .sd |
| Internet users: | total: 9.61 million |
| Internet users: | percent of population: 26.6% (July 2015 est.) |
