| Communications | Bermuda |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,883 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 31 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 64,997 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 92 (2017 est.) |
| Telephone system: | general assessment: a good, fully automatic digital telephone system with fiber-optic trunk lines; telecom sector provides a relatively high contribution to overall GDP; numerous competitors licensed, but small and localized (2017) |
| Telephone system: | domestic: the system has a high fixed-line teledensity 31 per 100, coupled with a mobile-cellular teledensity of roughlyÂ 92 per 100 persons (2017) |
| Telephone system: | international: country code - 1-441; landing points for the GlobeNet, Gemini Bermuda, CBUS, and the Challenger Bermuda-1 (CB-1) submarine cables; satellite earth stations - 3 (2015) |
| Broadcast media: | 3 TV stations; cable and satellite TV subscription services are available; roughly 13 radio stations operating (2012) |
| Internet country code: | .bm |
| Internet users: | total: 69,126 (July 2016 est.) |
| Internet users: | percent of population: 98% (July 2016 est.) |
